"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 08 19:24:16 GMT 2022","Thu Sep 08 19:24:40 GMT 2022","24118","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"failed","Thu Sep 08 19:23:23 GMT 2022","Thu Sep 08 19:23:47 GMT 2022","24185","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"passed","Thu Sep 08 19:22:55 GMT 2022","Thu Sep 08 19:23:20 GMT 2022","24706","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"failed","Thu Sep 08 19:23:49 GMT 2022","Thu Sep 08 19:24:13 GMT 2022","24275","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
