"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 08 20:51:50 GMT 2022","Thu Sep 08 20:52:15 GMT 2022","24518","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"failed","Thu Sep 08 20:51:23 GMT 2022","Thu Sep 08 20:51:47 GMT 2022","24671","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"failed","Thu Sep 08 20:52:18 GMT 2022","Thu Sep 08 20:52:42 GMT 2022","24668","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"passed","Thu Sep 08 20:50:55 GMT 2022","Thu Sep 08 20:51:20 GMT 2022","25111","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
