"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 07 18:17:29 GMT 2022","Wed Sep 07 18:17:40 GMT 2022","10527","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"broken","Wed Sep 07 18:18:11 GMT 2022","Wed Sep 07 18:18:22 GMT 2022","10523","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"broken","Wed Sep 07 18:17:56 GMT 2022","Wed Sep 07 18:18:07 GMT 2022","10515","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"broken","Wed Sep 07 18:17:42 GMT 2022","Wed Sep 07 18:17:53 GMT 2022","10580","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
