"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 08 19:39:56 GMT 2022","Thu Sep 08 19:40:21 GMT 2022","24350","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"failed","Thu Sep 08 19:41:17 GMT 2022","Thu Sep 08 19:41:42 GMT 2022","24573","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"failed","Thu Sep 08 19:40:50 GMT 2022","Thu Sep 08 19:41:14 GMT 2022","24410","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"failed","Thu Sep 08 19:40:23 GMT 2022","Thu Sep 08 19:40:47 GMT 2022","24206","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
