"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 09 02:47:18 GMT 2022","Fri Sep 09 02:47:34 GMT 2022","15758","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"passed","Fri Sep 09 02:47:00 GMT 2022","Fri Sep 09 02:47:16 GMT 2022","16117","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"passed","Fri Sep 09 02:46:43 GMT 2022","Fri Sep 09 02:46:58 GMT 2022","14897","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"passed","Fri Sep 09 02:47:37 GMT 2022","Fri Sep 09 02:47:52 GMT 2022","15043","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
