"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 07 20:40:04 GMT 2022","Wed Sep 07 20:40:17 GMT 2022","12542","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"passed","Wed Sep 07 20:40:48 GMT 2022","Wed Sep 07 20:41:00 GMT 2022","12025","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"passed","Wed Sep 07 20:40:35 GMT 2022","Wed Sep 07 20:40:47 GMT 2022","12069","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"passed","Wed Sep 07 20:40:20 GMT 2022","Wed Sep 07 20:40:32 GMT 2022","12214","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
