"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 16 03:24:17 GMT 2024","Tue Jul 16 03:24:17 GMT 2024","0","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"broken","Tue Jul 16 03:24:19 GMT 2024","Tue Jul 16 03:24:19 GMT 2024","0","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"broken","Tue Jul 16 03:24:19 GMT 2024","Tue Jul 16 03:24:19 GMT 2024","0","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"broken","Tue Jul 16 03:24:19 GMT 2024","Tue Jul 16 03:24:19 GMT 2024","0","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
