"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 08 20:41:05 GMT 2022","Thu Sep 08 20:41:30 GMT 2022","24227","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"passed","Thu Sep 08 20:40:37 GMT 2022","Thu Sep 08 20:41:02 GMT 2022","24768","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"failed","Thu Sep 08 20:41:59 GMT 2022","Thu Sep 08 20:42:24 GMT 2022","24261","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"failed","Thu Sep 08 20:41:32 GMT 2022","Thu Sep 08 20:41:56 GMT 2022","24519","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
