"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Mar 27 03:13:34 GMT 2024","Wed Mar 27 03:13:34 GMT 2024","0","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"broken","Wed Mar 27 03:13:34 GMT 2024","Wed Mar 27 03:13:34 GMT 2024","0","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"broken","Wed Mar 27 03:13:34 GMT 2024","Wed Mar 27 03:13:34 GMT 2024","0","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"broken","Wed Mar 27 03:13:31 GMT 2024","Wed Mar 27 03:13:31 GMT 2024","0","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
