"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 07 20:21:58 GMT 2022","Wed Sep 07 20:22:10 GMT 2022","12401","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"passed","Wed Sep 07 20:22:28 GMT 2022","Wed Sep 07 20:22:40 GMT 2022","12276","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"passed","Wed Sep 07 20:22:43 GMT 2022","Wed Sep 07 20:22:55 GMT 2022","12205","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"passed","Wed Sep 07 20:22:13 GMT 2022","Wed Sep 07 20:22:25 GMT 2022","12365","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
