"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 07 20:10:54 GMT 2022","Wed Sep 07 20:11:06 GMT 2022","12288","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
"passed","Wed Sep 07 20:11:08 GMT 2022","Wed Sep 07 20:11:21 GMT 2022","12169","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"passed","Wed Sep 07 20:11:23 GMT 2022","Wed Sep 07 20:11:35 GMT 2022","12747","tests","test_search","TestSearch","","","Search for a rental being dropped off at a different location","Search with from and to airport being the same"
"passed","Wed Sep 07 20:10:40 GMT 2022","Wed Sep 07 20:10:52 GMT 2022","12170","tests","test_search","TestSearch","","","Search for a rental being returned to origin","Search with from and to airport being different"
